0,1,2,3,4
"Ratchada City 18 : รัชดา ซิตี้ 18, กรุงเทพถนนรัชดาภิเษก ซอย 18 (ถนนประชาราษฎร์บำเพ็ญ), สามเสนนอก, ห้วยขวาง, กรุงเทพ",[],"1,390,000",28 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""studio"" title=""สตูดิโอ"">สตูดิโอ <i class=""pg-icon pgicon-bedroom""></i></span></li>"
"Ratchada City 18 : รัชดา ซิตี้ 18, กรุงเทพถนนรัชดาภิเษก ซอย 18 (ถนนประชาราษฎร์บำเพ็ญ), สามเสนนอก, ห้วยขวาง, กรุงเทพ",[],"1,490,000",28 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""studio"" title=""สตูดิโอ"">สตูดิโอ <i class=""pg-icon pgicon-bedroom""></i></span></li>"
"รัชดา ออร์คิด คอนโดมิเนียม, กรุงเทพ- ถนนสุทธิสารวินิจฉัย แขวงห้วยขวาง เขตห้วยขวาง จังหวัดกรุงเทพมหานคร, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">1,390,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 8 นาที (580 ม.) ถึง BL17 MRT สุทธิสาร
                        </li>, <li class=""""><span>คอนโด</span></li>]]","1,390,000",30 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"Garden Asoke-Rama 9 : การ์เดน อโศก-พระราม 9, กรุงเทพถนนจตุรทิศ, บางกะปิ, ห้วยขวาง, กรุงเทพ",[],"2,190,000",33 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"จอห์นนี่ ทาวเวอร์ คอนโดมิเนียม, กรุงเทพประชาอุทิศ ประชาอุทิศ, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">1,650,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 9 นาที (680 ม.) ถึง BL18 MRT ห้วยขวาง
                        </li>, <li class=""""><span>คอนโด</span></li>]]","1,650,000",35 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"Happy Condo Ratchada 18, กรุงเทพ- ​ซอยรัชดา 18 ถนนประชาราษฎร์บำเพ็ญ แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร, สามเสนนอก, ห้วยขวาง, กรุงเทพ",[],"1,500,000",28 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""studio"" title=""สตูดิโอ"">สตูดิโอ <i class=""pg-icon pgicon-bedroom""></i></span></li>"
"TC Green, กรุงเทพห้วยขวาง, ห้วยขวาง, กรุงเทพ",[],"3,990,000",40 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"Rhythm Ratchada, กรุงเทพ558 ถนนรัชดาภิเษก แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร, สามเสนนอก, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">4,500,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 1 นาที (100 ม.) ถึง BL16 MRT รัชดาภิเษก
                        </li>, <li class=""""><span>คอนโด</span></li>]]","4,500,000",47 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"ศุภาลัยซิตี้รีสอร์ท, กรุงเทพห้วยขวาง, ห้วยขวาง, กรุงเทพ",[],"3,590,000",61 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""2 ห้องนอน"">2 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"Lumpini Place พระราม 9-รัชดา เฟส 1-2, กรุงเทพ- ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">2,850,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 9 นาที (690 ม.) ถึง BL20 MRT พระราม 9
                        </li>, <li class=""""><span>คอนโด</span></li>]]","2,850,000",34 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"City Home Ratchada, กรุงเทพ- ซอยรัชดาภิเษก 10 ถนนรัชดาภิเษก, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">1,790,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""studio"" title=""สตูดิโอ"">สตูดิโอ <i class=""pg-icon pgicon-bedroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 11 นาที (820 ม.) ถึง BL18 MRT ห้วยขวาง
                        </li>, <li class=""""><span>คอนโด</span></li>]]","1,790,000",30 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""studio"" title=""สตูดิโอ"">สตูดิโอ <i class=""pg-icon pgicon-bedroom""></i></span></li>"
